系列名称,全規模/全産業,全規模/建設,全規模/不動産・物品賃貸,全規模/不動産,全規模/対事業所サービス
2021/03,1.0,1.0,0.8,0.7,1.0
2021/06,1.1,1.1,0.9,0.9,1.0
2021/09,1.1,1.2,1.0,0.9,1.1
2021/12,1.3,1.5,1.1,1.1,1.3
2022/03,1.6,1.8,1.4,1.5,1.6
2022/06,1.9,2.0,1.6,1.6,1.8
2022/09,2.0,2.2,1.8,1.8,1.9
2022/12,2.0,2.2,1.9,2.0,1.8
2023/03,2.1,2.3,1.9,1.9,2.1
2023/06,2.1,2.2,2.2,2.1,2.0
2023/09,2.1,2.2,2.0,2.0,2.1
2023/12,2.1,2.2,2.0,1.9,2.3
2024/03,2.1,2.3,2.1,2.0,2.1
2024/06,2.2,2.3,2.2,2.1,2.2
2024/09,2.2,2.3,2.2,2.1,2.3
2024/12,2.2,2.3,2.2,2.0,2.4
2025/03,2.3,2.4,2.3,2.2,2.5
2025/06,2.3,2.4,2.2,2.2,2.5
2025/09,2.4,2.5,2.2,2.1,2.6
2025/12,2.4,2.5,2.4,2.5,2.5
2026/03,2.5,2.6,2.4,2.3,2.5
2026/06,2.6,2.8,2.5,2.4,2.6
2026/09,,,,,
2026/12,,,,,
